"model_id","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"Amanda-ARIMA",3295.4704859335,4154.70588235294,0.637254901960784,0.862745098039216,102
"Amanda-XGBoost",2155.13837595908,3294,0.352941176470588,0.872549019607843,102
