"model_id","horizon","wis","ae_median","interval_coverage_50","interval_coverage_95","n"
"Amanda-ARIMA",1,1529.76404092072,1954.17647058824,0.617647058823529,0.882352941176471,34
"Amanda-ARIMA",2,3493.87847826087,4407.70588235294,0.617647058823529,0.852941176470588,34
"Amanda-ARIMA",3,4862.76893861893,6102.23529411765,0.676470588235294,0.852941176470588,34
"Amanda-XGBoost",1,1607.93255754476,2408.79411764706,0.323529411764706,0.852941176470588,34
"Amanda-XGBoost",2,2222.71090792839,3294.23529411765,0.352941176470588,0.852941176470588,34
"Amanda-XGBoost",3,2634.77166240409,4178.97058823529,0.382352941176471,0.911764705882353,34
